"hospital_name","package_id","package_name","recommended_age","recommended_gender","medical_history","tests_included","date","time_slot","timezone"
"Apex Medical","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-08-01","15:00","IST"
"City General Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-08-26","10:30","IST"
"Sunrise Hospital","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-09-22","09:30","IST"
"Metro Health Center","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-12-08","15:30","IST"
"Sunrise Hospital","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-11-26","10:00","IST"
"Apex Medical","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-08-24","11:30","IST"
"Metro Health Center","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-10-16","09:00","IST"
"City General Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-09-30","09:30","IST"
"Sunrise Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-10-14","11:30","IST"
"Metro Health Center","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-12-03","15:00","IST"
"Apex Medical","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-11-11","15:30","IST"
"City General Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-12-13","14:30","IST"
"City General Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-12-13","13:30","IST"
"City General Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-12-11","13:30","IST"
"Apex Medical","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-09-24","11:30","IST"
"Apex Medical","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-11-01","10:00","IST"
"Sunrise Hospital","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-08-08","13:30","IST"
"Sunrise Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-12-24","11:00","IST"
"Sunrise Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-12-27","16:30","IST"
"Sunrise Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-12-21","11:00","IST"
"Sunrise Hospital","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-09-16","12:00","IST"
"Metro Health Center","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-09-23","12:00","IST"
"City General Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-12-24","10:00","IST"
"Sunrise Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-11-15","15:00","IST"
"Sunrise Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-11-25","15:30","IST"
"Apex Medical","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-12-19","16:00","IST"
"Sunrise Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-09-16","12:00","IST"
"City General Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-10-20","13:00","IST"
"Sunrise Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-11-18","09:30","IST"
"Sunrise Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-11-12","10:00","IST"
"Sunrise Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-10-04","10:30","IST"
"City General Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-08-15","09:30","IST"
"Metro Health Center","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-09-07","13:30","IST"
"Metro Health Center","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-10-16","12:00","IST"
"City General Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-10-25","14:30","IST"
"City General Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-09-08","09:00","IST"
"City General Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-08-12","13:30","IST"
"Apex Medical","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-08-24","12:00","IST"
"Apex Medical","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-10-02","13:30","IST"
"Metro Health Center","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-11-21","10:30","IST"
"Sunrise Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-08-05","14:00","IST"
"Metro Health Center","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-08-06","09:30","IST"
"Sunrise Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-10-31","10:00","IST"
"Metro Health Center","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-10-02","10:30","IST"
"City General Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-12-05","11:00","IST"
"Sunrise Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-09-28","15:30","IST"
"Apex Medical","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-10-21","16:00","IST"
"Apex Medical","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-11-01","10:00","IST"
"Sunrise Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-08-19","09:00","IST"
"Sunrise Hospital","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-11-05","10:00","IST"
"Sunrise Hospital","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-11-10","14:30","IST"
"Sunrise Hospital","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-09-01","16:00","IST"
"City General Hospital","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-10-20","10:30","IST"
"Sunrise Hospital","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-11-22","13:30","IST"
"Apex Medical","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-12-25","09:30","IST"
"City General Hospital","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-08-13","09:00","IST"
"City General Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-08-20","12:30","IST"
"Metro Health Center","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-08-20","13:00","IST"
"Sunrise Hospital","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-12-24","14:00","IST"
"Metro Health Center","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-08-16","10:00","IST"
"Apex Medical","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-08-15","15:30","IST"
"Sunrise Hospital","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-11-11","10:00","IST"
"Sunrise Hospital","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-10-29","16:30","IST"
"Apex Medical","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-11-22","11:00","IST"
"Sunrise Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-12-14","15:30","IST"
"City General Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-12-04","09:30","IST"
"City General Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-09-04","09:30","IST"
"Sunrise Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-08-24","12:30","IST"
"Apex Medical","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-12-25","15:30","IST"
"Metro Health Center","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-09-13","14:00","IST"
"Apex Medical","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-11-28","15:00","IST"
"City General Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-08-29","16:00","IST"
"Sunrise Hospital","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-10-23","13:00","IST"
"Metro Health Center","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-12-03","11:00","IST"
"Metro Health Center","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-12-04","14:30","IST"
"Apex Medical","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-10-26","13:00","IST"
"City General Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-08-13","15:30","IST"
"Apex Medical","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-08-03","16:30","IST"
"Metro Health Center","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-08-19","09:30","IST"
"Metro Health Center","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-09-13","16:30","IST"
"Apex Medical","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-10-26","10:00","IST"
"City General Hospital","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-08-31","13:30","IST"
"Apex Medical","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-10-10","09:30","IST"
"Sunrise Hospital","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-09-25","10:00","IST"
"City General Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-08-01","14:00","IST"
"Sunrise Hospital","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-09-23","15:30","IST"
"Metro Health Center","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-11-03","11:00","IST"
"Apex Medical","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-09-07","11:30","IST"
"City General Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-11-20","15:00","IST"
"Metro Health Center","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-11-17","13:00","IST"
"Apex Medical","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-09-25","13:30","IST"
"Metro Health Center","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-12-04","12:30","IST"
"Apex Medical","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-08-04","13:30","IST"
"Metro Health Center","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-12-22","13:00","IST"
"Metro Health Center","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-09-15","13:00","IST"
"Metro Health Center","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-10-28","09:30","IST"
"Sunrise Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-10-31","10:30","IST"
"Apex Medical","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-07-27","09:30","IST"
"Metro Health Center","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-08-25","15:00","IST"
"Sunrise Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-11-21","11:30","IST"
"City General Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-12-05","15:00","IST"
"City General Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-09-02","10:00","IST"
"Metro Health Center","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-09-09","12:00","IST"
"Metro Health Center","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-12-04","12:00","IST"
"Sunrise Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-09-28","15:00","IST"
"Apex Medical","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-08-25","10:00","IST"
"City General Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-09-07","10:30","IST"
"City General Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-08-08","10:00","IST"
"Metro Health Center","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-11-28","12:00","IST"
"Metro Health Center","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-12-01","09:00","IST"
"Apex Medical","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-10-14","15:30","IST"
"City General Hospital","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-11-30","16:30","IST"
"Apex Medical","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-10-13","12:30","IST"
"Sunrise Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-12-16","16:30","IST"
"Metro Health Center","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-12-15","09:30","IST"
"City General Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-09-24","11:00","IST"
"Metro Health Center","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-07-31","13:30","IST"
"Metro Health Center","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-12-09","15:30","IST"
"Sunrise Hospital","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-11-05","13:30","IST"
"Metro Health Center","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-10-19","10:00","IST"
"Metro Health Center","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-08-21","11:30","IST"
"City General Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-12-30","09:30","IST"
"City General Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-10-22","15:00","IST"
"City General Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-09-16","14:00","IST"
"Sunrise Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-12-13","16:30","IST"
"Sunrise Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-12-12","16:30","IST"
"City General Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-08-25","09:30","IST"
"Metro Health Center","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-11-23","12:00","IST"
"Sunrise Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-12-17","16:30","IST"
"Sunrise Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-09-15","16:00","IST"
"Apex Medical","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-10-13","12:00","IST"
"Sunrise Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-09-14","11:00","IST"
"Apex Medical","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-12-09","09:00","IST"
"Sunrise Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-09-29","15:00","IST"
"Sunrise Hospital","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-11-09","11:00","IST"
"Metro Health Center","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-10-29","12:00","IST"
"Sunrise Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-09-22","12:30","IST"
"City General Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-12-07","09:30","IST"
"Apex Medical","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-08-02","10:30","IST"
"Apex Medical","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-08-26","09:30","IST"
"Apex Medical","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-07-29","16:30","IST"
"Sunrise Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-12-28","15:00","IST"
"City General Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-11-18","09:00","IST"
"Metro Health Center","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-07-30","14:30","IST"
"Apex Medical","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-08-24","11:00","IST"
"Apex Medical","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-09-07","10:30","IST"
"Metro Health Center","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-08-26","11:30","IST"
"Sunrise Hospital","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-09-17","15:30","IST"
"Apex Medical","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-08-11","16:30","IST"
"Metro Health Center","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-11-28","09:00","IST"
"City General Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-10-02","09:00","IST"
"Sunrise Hospital","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-09-05","11:00","IST"
"City General Hospital","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-12-19","09:30","IST"
"City General Hospital","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-12-13","12:30","IST"
"Metro Health Center","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-12-22","15:00","IST"
"Metro Health Center","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-12-18","13:00","IST"
"Sunrise Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-12-30","09:30","IST"
"Apex Medical","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-12-08","11:00","IST"
"Metro Health Center","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-10-15","15:30","IST"
"Apex Medical","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-11-08","09:30","IST"
"Metro Health Center","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-08-11","11:30","IST"
"Metro Health Center","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-11-19","15:30","IST"
"Apex Medical","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-10-15","12:00","IST"
"City General Hospital","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-09-11","09:00","IST"
"City General Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-09-13","10:30","IST"
"Sunrise Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-08-27","09:00","IST"
"City General Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-10-25","13:00","IST"
"City General Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-07-30","09:30","IST"
"Apex Medical","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-12-31","09:00","IST"
"Metro Health Center","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-11-06","13:30","IST"
"Metro Health Center","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-08-04","16:30","IST"
"City General Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-10-27","10:30","IST"
"Sunrise Hospital","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-12-21","10:00","IST"
"Metro Health Center","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-11-15","12:00","IST"
"Metro Health Center","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-08-15","10:00","IST"
"City General Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-08-02","09:00","IST"
"Sunrise Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-08-29","11:00","IST"
"Apex Medical","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-10-16","10:30","IST"
"Metro Health Center","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-09-01","15:00","IST"
"Apex Medical","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-11-05","13:00","IST"
"Sunrise Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-08-31","12:00","IST"
"Apex Medical","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-10-07","09:00","IST"
"City General Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-07-30","16:30","IST"
"City General Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-09-10","13:00","IST"
"Metro Health Center","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-11-02","15:30","IST"
"City General Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-11-19","10:00","IST"
"City General Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-08-06","15:00","IST"
"Apex Medical","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-08-19","11:30","IST"
"Sunrise Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-11-24","11:00","IST"
"Sunrise Hospital","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-12-21","12:30","IST"
"City General Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-08-31","10:00","IST"
"Sunrise Hospital","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-08-31","11:30","IST"
"Sunrise Hospital","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-12-27","15:00","IST"
"Apex Medical","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-09-24","13:00","IST"
"Metro Health Center","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-08-01","15:30","IST"
"Apex Medical","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-10-10","16:00","IST"
"Metro Health Center","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-12-15","09:30","IST"
"Apex Medical","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-07-28","16:00","IST"
"Apex Medical","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-12-20","16:00","IST"
"Apex Medical","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-08-04","16:00","IST"
"Sunrise Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-09-01","14:30","IST"
"Sunrise Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-11-29","16:00","IST"
"Metro Health Center","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-08-02","09:00","IST"
"Apex Medical","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-08-16","14:00","IST"
"Apex Medical","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-12-31","13:30","IST"
"Metro Health Center","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-12-03","13:30","IST"
"Metro Health Center","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-10-25","16:00","IST"
"Apex Medical","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-12-06","10:30","IST"
"Metro Health Center","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-08-20","10:30","IST"
"Apex Medical","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-10-28","13:30","IST"
"City General Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-07-30","16:30","IST"
"City General Hospital","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-10-08","10:00","IST"
"Sunrise Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-12-29","13:00","IST"
"Apex Medical","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-09-30","15:00","IST"
"Metro Health Center","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-10-27","14:30","IST"
"City General Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-10-16","15:00","IST"
"Sunrise Hospital","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-10-21","10:30","IST"
"Apex Medical","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-09-26","14:00","IST"
"Apex Medical","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-10-10","13:00","IST"
"Sunrise Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-12-24","15:00","IST"
"City General Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-08-24","16:00","IST"
"City General Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-08-14","16:00","IST"
"Metro Health Center","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-08-12","12:30","IST"
"Sunrise Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-12-26","11:30","IST"
"City General Hospital","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-11-23","10:00","IST"
"Apex Medical","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-10-10","09:30","IST"
"Metro Health Center","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-09-15","15:30","IST"
"Apex Medical","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-12-20","16:00","IST"
"Apex Medical","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-11-10","09:30","IST"
"City General Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-09-20","11:00","IST"
"Sunrise Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-09-12","09:00","IST"
"Sunrise Hospital","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-09-22","09:30","IST"
"City General Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-10-08","16:00","IST"
"Apex Medical","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-11-20","14:30","IST"
"Metro Health Center","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-10-09","13:00","IST"
